_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
667066cf6dc967ef9866414c,,72.78,93.81,72.78,69.14,91;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1718642383000
6661ba28338802e28dbc0cf5,,83.93,97.25,83.93,65.03,105;0;0;0,time,15,-1,1,15.01,0,1,false,false,indonesian,,normal,false,false,false,,1717680680000
66600a7bca2df50192a2e6cb,,63.99,92.05,63.99,54.37,80;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1717570171000
6657f31d3f4cde2f9deb49c1,,55.97,85.37,55.97,60.58,70;0;0;0,time,15,-1,1,15.01,0,2.45,false,false,indonesian,,normal,false,false,false,,1717039901000
664aa984c1edd2b869edae31,,71.16,97.8,71.16,74.85,89;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1716169092000
6642e9722b05a65a0528de33,,66.39,91.21,66.39,65.19,83;0;0;0,time,15,-1,1,15,0,4.7,false,false,indonesian,,normal,false,false,false,,1715661170000
6642e9492b05a65a0528dccc,,69.19,94.02,69.19,67.74,173;0;0;0,time,30,-1,1,30,0,1.49,false,false,indonesian,,normal,false,false,false,,1715661129000
6638766ee7e7f153d07eb215,,63.59,91.43,63.59,64.58,159;0;0;0,time,30,-1,1,30,0,0.83,false,false,indonesian,,normal,false,false,false,,1714976366000
663330da4f5a6b13908a33c5,,72.79,93.94,72.79,67.13,182;0;0;0,time,30,-1,2,30,0,27.4,false,false,indonesian,,normal,false,false,false,,1714630874000
66304717446b79b80c8d949e,,77.98,98,77.98,70.68,195;0;0;0,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1714439959000
663046f8446b79b80c8d939b,,69.19,94.15,69.19,60.09,173;0;0;0,time,30,-1,2,30,0,6.09,false,false,indonesian,,normal,false,false,false,,1714439928000
66050de81508496677e55711,,60.8,88.95,60.8,70.79,152;0;0;0,time,30,-1,0,30,0,0,false,false,indonesian,,normal,false,false,false,,1711607272000
6604cd2a1508496677e377f7,,52.05,94.37,52.05,52.29,66;0;0;0,words,10,-1,2,15.22,0,2.05,false,false,indonesian,,normal,false,false,false,,1711590698000
